Park Name,Park Type,"Aqua Feat, Pool","Aqua Feat, Spray","Backstop, Practice",Ballfield,Basketball,Blueway,"Complex, Ballfield","Complex, Tennis",Concessions,Disk Golf,Driving Range,Educational Experience,Event Space,Fitness Course,"Garden, Community","Garden, Display",Golf,"Hockey, Ice",Loop Walk,"MP Field, Large","MP Field, Multiple","MP Field, Small",Multiuse Court,Natural Area,Open Turf,Open Water,Other - Active,Other-Passive,Passive Node,Picnic Grounds,"Playground, Destination","Playground, Local",Public Art,Shelter,"Shelter, Group",Skate Park,Sledding Hill,Structure,Tennis,"Trail, Primitive",Volleyball,"Water Access, Developed","Water Access, General",Water Feature,Address,City,State,Zip Code,Latitude,Longitude
Belleville Park,Community Park,,,,7,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,1300 S. Mayflower Road,South Bend,Indiana,46619,41.66003226000049,-86.32198280299968
Blackthorn Golf Course,Golf Course,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6100 Nimtz Parkway,South Bend,Indiana,46628,41.72254377100046,-86.33406577499966
Boehm Park,Community Park,,,,2,2,,,,,,,,,,,,,,,,5,,,,,,,,,1,,2,,,1,,,,4,,,,,,3205 Edison Road,South Bend,Indiana,46617,41.694669059000034,-86.20279481199998
Boland Park,Community Park,,,,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,2,,,,,,3000 Bendix,South Bend,Indiana,46628,41.70800951800004,-86.30776964199998
Booth Tarkington,Neighborhood Park,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1722 Rerick Drive,South Bend,Indiana,46635,41.69871230300049,-86.20190786599966
Bowman Cemetery,Cemetery,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1700 S. Miami Street,South Bend,Indiana,46613,41.65777328200005,-86.23495205399996
Brownfield Park,Block Park,,,1,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1022 Angela Blvd,South Bend,Indiana,46616,41.69323166000049,-86.26449754599969
City Cemetery,Cemetery,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,214 Elm Street,South Bend,Indiana,46616,41.67766498600048,-86.26776489199966
Coquillard Park,Neighborhood Park,,1,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,1,,,,2,,,,,,1300 Campaeu,South Bend,Indiana,46617,41.68598225900007,-86.23081651199999
East Race Trail,Special,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,1,,935 Niles,South Bend,Indiana,46617,41.68411374800047,-86.23649851699969
East Race Waterway,Community Park,,,,,,1,,,,,,1,1,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,126 N. Niles,South Bend,Indiana,46617,41.67740127900004,-86.24432328899996
Edison Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,2400 Rockne Dr,South Bend,Indiana,46615,41.68932081300005,-86.21338156199994
Elbel Golf Course,Golf Course,,,,,,,,,,,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,26595 Auten Road,South Bend,Indiana,46628,41.74452579300049,-86.38303277099965
Erskine Golf Course,Golf Course,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,4200 Miami Road,South Bend,Indiana,46614,41.63237676200049,-86.23474588899967
Four Winds Field,Community Park,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,301 W. South St.,South Bend,Indiana,46601,41.66959830800005,-86.25358006499994
Fredrickson Park,Neighborhood Park,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1330 South Bend Avenue,South Bend,Indiana,46617,41.6905863180005,-86.23014733899964
Fremont Park,Block Park,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,,,,1800 North Fremont Street,South Bend,Indiana,46628,41.6993638400005,-86.28497231499966
Gwen Stiver Memorial Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,230 Michigan Street,South Bend,Indiana,46601,41.67402073700049,-86.25030000399966
Helman Mini Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1118 Helmen,South Bend,Indiana,46615,41.689879903000076,-86.20093430999998
Howard Park,Neighborhood Park,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,1,,,4,1,1,,1,,,,,,,,,1,,,219 S. St. Louis Blvd,South Bend,Indiana,46617,41.67855932200007,-86.24143682299996
Jon Hunt Memorial Plaza,Memorial,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,214 Michigan Street,South Bend,Indiana,46601,41.67831068400045,-86.25045095399969
Keller Park,Neighborhood Park,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,4,,,,1,,1935 Riverside Drive,South Bend,Indiana,46616,41.70278013500007,-86.26042586099999
Kelly Park,Block Park,,,,,0.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,718 Howard Street,South Bend,Indiana,46617,41.68843302800008,-86.24057544099998
Kennedy Park,Community Park,1,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2700 Westmoor Street,South Bend,Indiana,46628,41.68467464800045,-86.28838583299967
LaSalle Landing Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2800 Portage,South Bend,Indiana,46619,41.66817885200004,-86.32130867999996
LaSalle Park,Community Park,,1,1,,2,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,2,,,2,,,1,2,,,,,,3419 W. Washington,South Bend,Indiana,46619,41.675609146000056,-86.29558580599996
Leeper Park,Community Park,,,,,,,,1,,,,1,1,,,2,,,,1,,,,,1,2,,,1,,,2,,1,,,,,15,,,,1,,820 N. Michigan St.,South Bend,Indiana,46616,41.68530211500007,-86.25049424399998
Lincoln Plaza Mini Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601 Ryer St.,South Bend,Indiana,46628,41.69606624900007,-86.29728166299998
Marshall Park,Neighborhood Park,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,4,,,,,,3725 Springbrook,South Bend,Indiana,46614,41.63666075300006,-86.22310960499999
Martin Luther King Jr.,Neighborhood Park,,1,,1,4,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1522 W. Linden Avenue,South Bend,Indiana,46628,41.67938320400003,-86.27417084499996
Muessel Grove Park,Neighborhood Park,,,,2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,,,,,1200 Wilbur Street,South Bend,Indiana,46628,41.69094202300005,-86.27398315899995
Newman Recreation Center,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727 S. Eddy St.,South Bend,Indiana,46615,41.68508008500004,-86.23537697299997
Nokomis Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,310 Wakewa,South Bend,Indiana,46617,41.69005327200006,-86.25416943199997
Northside Blvd. Riverwalk,Community Park,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1350 Northside Blvd,South Bend,Indiana,46617,41.66133958500046,-86.22912509399964
O'Brien Park,Neighborhood Park,,1,,,,,,,,,,,,,,,,,,2,,,,1,1,1,,,,,,1,,2,,1,,,,,,,,,321 Walter Street,South Bend,Indiana,46614,41.63101198200047,-86.24687887099964
Parkovash Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,215 Parkovash Avenue,South Bend,Indiana,46617,41.69207437700004,-86.25274700299997
Pier Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,2,,,124 N. St. Joseph Street,South Bend,Indiana,46601,41.67679989700008,-86.24872927799998
Pinhook Park,Community Park,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,1,,2801 Riverside Drive,South Bend,Indiana,46616,41.713873929000044,-86.27120318999994
Plaza Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,400 Columbia Street,South Bend,Indiana,46601,41.67197971100006,-86.24572568399998
Ponader Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,54054 Maple Lane Avenue,South Bend,Indiana,46635,41.70867075100006,-86.21386387099994
Potawatomi Park,Community Park,1,,,1,,,,,,,,1,1,,1,2,,,3,1,,,,,1,,,,,12,2,,,,3,,,2,,,,,,,2000 Wall Street,South Bend,Indiana,46615,41.667536510000446,-86.21790959499964
Potawatomi Zoo,Zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 South Greenlawn Avenue,South Bend,Indiana,46615,41.67127160700045,-86.22077120099965
Pulaski Park,Neighborhood Park,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1308 Huron,South Bend,Indiana,46619,41.670183515000076,-86.27011868599999
Randolph Mini Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1809 Randolph Street,South Bend,Indiana,46613,41.65585821800005,-86.22014034999995
Ravina Park,Block Park,,,,,0.5,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,1522 Lebanon St.,South Bend,Indiana,46613,41.65941212900003,-86.23819020199994
River Manor Park,Neighborhood Park,,,,,0.5,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,2,,,,,,3811 Glenview Dr.,South Bend,Indiana,46628,41.72756648700005,-86.27364228199997
Riverside Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,1,,,3840 Riverside Drive,South Bend,Indiana,46628,41.72734727200003,-86.26930036299996
Rum Village Annex,Community Park,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,2700 Gertrude St,South Bend,Indiana,46614,41.64682858700007,-86.27311700399997
Rum Village Park,Community Park,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,4,,,1,,,,,,,2700 Gertrude St,South Bend,Indiana,46614,41.64682858700007,-86.27311700399997
Ryer Mini Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1565 Ryer St.,South Bend,Indiana,46628,41.70801127800047,-86.30769577799964
Seitz Park,Block Park,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,340 E. Colfax,South Bend,Indiana,46601,41.677774234000026,-86.24976801199995
Shetterley Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,1044 Riverside Drive,South Bend,Indiana,46616,41.68909715900048,-86.25964790099965
Sorin Mini Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3366 Sorin Street,South Bend,Indiana,46615,41.68463344500003,-86.20077129399994
Southeast Neighborhood Park,Neighborhood Park,,1,1,,1,,,,,,,,,,,,,,1,1,,,1,,1,,,,,,,1,,,2,,,,,,,,,,503 Wenger Street,South Bend,Indiana,46601,41.662587544000075,-86.24358121899996
Studebaker Golf Course,Golf Course,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,718 Calvert Street,South Bend,Indiana,46613,41.65411663000049,-86.25964338499966
Vassar Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1100 Sherman Avenue,South Bend,Indiana,46616,41.6894837530005,-86.26493242799967
Veteran's Memorial Park,Neighborhood Park,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1501 Northside Blvd,South Bend,Indiana,46615,41.66026248600008,-86.22534233699997
Viewing Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,,,900 Northside Blvd,South Bend,Indiana,46617,41.66749187200048,-86.23634464699967
Voorde Park,Neighborhood Park,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,2,,,,,,3433 Keller St.,South Bend,Indiana,46628,41.69730839600004,-86.29765393399998
Walker Field Park,Neighborhood Park,,,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,1,,,,4,,,,,,2212 S. Walnut Street,South Bend,Indiana,46613,41.65108868200008,-86.27071853799998
Westhaven Park,Block Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,1220 Sussex Drive,South Bend,Indiana,46628,41.6904709370005,-86.30599056399967
Woodlawn Park,Neighborhood Park,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,,,,,,,,,,,,1,,2166 Riverside Drive,South Bend,Indiana,46616,41.70574295900008,-86.26795445899995
