POPL_NAME,POPL_TYPE,POPL_PHONE,Address,City,State,Zip Code,Latitude,Longitude
South Bend Fire Dept.,FIRE STATION,574-235-9491,1222 S. Michigan St.,South Bend,Indiana,46601,41.66145320300046,-86.24997207899969
South Bend Fire Dept. Station #2,FIRE STATION,574-235-9602,402 Martin Luther King Jr Dr,South Bend,Indiana,46601,41.68009785300046,-86.25981731099967
South Bend Fire Dept. Station #3,FIRE STATION,574-235-9175,1805 McKinley Ave.,South Bend,Indiana,46617,41.680220706000455,-86.22075713699968
South Bend Fire Dept. Station #4,FIRE STATION,574-235-9422,220 N. Olive St.,South Bend,Indiana,46628,41.678453281000486,-86.28343457299968
South Bend Fire Dept. Station #5,FIRE STATION,574-235-9509,2221 Prairie Ave.,South Bend,Indiana,46614,41.64993112100046,-86.28155105499968
South Bend Fire Dept. Station #6,FIRE STATION,574-235-9691,4302 W. Western Ave.,South Bend,Indiana,46619,41.67183473200049,-86.30718176299968
South Bend Fire Dept. Station #7,FIRE STATION,574-235-9767,1616 Portage Ave.,South Bend,Indiana,46616,41.69653057200048,-86.27058017399969
South Bend Fire Dept. Station #9,FIRE STATION,574-235-9900,2520 Mishawaka Ave.,South Bend,Indiana,46615,41.6657208470005,-86.21102100299964
South Bend Fire Dept. Station #10,FIRE STATION,574-291-1309,5303 York Road,South Bend,Indiana,46614,41.61974499100046,-86.22520402199967
South Bend Fire Dept. Station #11,FIRE STATION,574-235-9385,3505 N. Bendix Dr.,South Bend,Indiana,46628,41.72318967400048,-86.29200404599965
Mishawaka Fire Dept. Station #1,FIRE STATION,574-258-1674,600 Union St.,Mishawaka,Indiana,46544,41.65585337700048,-86.17692383499968
Mishawaka Fire Dept. Station #2,FIRE STATION,574-258-1697,2332 N. Main St.,Mishawaka,Indiana,46544,41.681103660000474,-86.18137563599964
Mishawaka Fire Dept. Station #4,FIRE STATION,574-258-1704,3000 Harrison Rd,Mishawaka,Indiana,46544,41.65146299200046,-86.13096194099967
South Bend Fire Dept. Station #8,FIRE STATION,574-235-9888,2402 Twykenham Dr.,South Bend,Indiana,46614,41.622684060000495,-86.24747834599964
Centre Twp. Fire,FIRE STATION,574-291-1677,19971 Kern Road,South Bend,Indiana,46614,41.608337261000486,-86.25311604899969
Clay Twp. Sta. 1,FIRE STATION,574-272-3012,18776 Cleveland,South Bend,Indiana,46637,41.72332113800047,-86.23148092899964
Clay Twp. Sta. 2,FIRE STATION,574-272-1710,18355 Auten Road,South Bend,Indiana,46637,41.745350472000496,-86.22409018899964
German Twp. Sta. 1,FIRE STATION,574-272-9828,51775 Portage Road,South Bend,Indiana,46628,41.74029080100047,-86.29557087399968
German Twp. Sta. 2,FIRE STATION,574-232-6652,23747 Keller Road,South Bend,Indiana,46628,41.69716158800048,-86.32726932899965
Harris Twp. Sta. 2,FIRE STATION,574-273-8178,12481 Anderson,Granger,Indiana,46350,41.615093335000495,-86.73039963799965
New Carlisle Fire,FIRE STATION,574-654-3244,210 Michigan,New Carlisle,Indiana,46552,41.70646011100047,-86.51996667599968
New Carlisle Ambulanc,FIRE STATION,574-654-8801,210 Michigan,New Carlisle,Indiana,46552,41.70646011100047,-86.51996667599968
North Liberty Fire,FIRE STATION,574-656-3163,112 S. State Street,North Liberty,Indiana,46554,41.53441973200046,-86.42712027299967
Osceola Twp. Fire,FIRE STATION,574-674-6244,620 Rogers,Osceola,Indiana,46561,41.6644618250005,-86.09286693399969
Penn North Fire,FIRE STATION,574-259-1030,13750 McKinley,Mishawaka,Indiana,46545,41.680510391000496,-86.13212077099968
Penn South Sta. 1,FIRE STATION,574-255-4433,14940 Jackson Road,Mishawaka,Indiana,46544,41.622370832000456,-86.15641088399968
Penn South Sta. 2,FIRE STATION,574-674-6747,10701 Ireland Road,Mishawaka,Indiana,46544,41.62955260300049,-86.15267715299967
Portage Twp. Fire,FIRE STATION,574-288-5956,23626 Fillmore,South Bend,Indiana,46619,41.6790101200005,-86.32436064999968
Warren Twp. Sta. 1,FIRE STATION,574-232-4028,54837 Quince Road,South Bend,Indiana,46619,41.69597952300046,-86.38020498499964
Warren Twp. Sta. 2,FIRE STATION,574-289-2909,59330 Crumstown Hwy.,South Bend,Indiana,46619,41.636031379000485,-86.39702842199966
Harris Twp. Sta. 1,FIRE STATION,574-272-4499,13981 SR 23,Granger,Indiana,46350,41.743374161000474,-86.13930218899964
Lakeville Fire,FIRE STATION,574-784-2698,117 N. Main,Lakeville,Indiana,46536,41.524504316000446,-86.27659857299966
Madison Twp. Fire,FIRE STATION,574-633-4915,66341 SR 331,Wyatt,Indiana,46595,41.52580347200046,-86.16939859699966
Mishawaka EMS Station,FIRE STATION,574-258-1675,333 E. Mishawaka Ave,Mishawaka,Indiana,46545,41.666220937000446,-86.17789057999966
Mishawaka Fire Dept. Station #3,FIRE STATION,574-247-0928,333 E Douglas Road,Mishawaka,Indiana,46645,41.709469466000485,-86.17766101299964
South Bend Police Department,POLICE STATION,574-245-6500,101 W SAMPLE,South Bend,Indiana,46619,41.66452382300048,-86.32689998899968
Mishawaka Police Department,POLICE STATION,574-258-1768,200 N CHURCH ST,Mishawaka,Indiana,46544,41.66218651300045,-86.17930931799964
St. Joseph County Jail,POLICE STATION,574-235-9201,701 W SAMPLE,South Bend,Indiana,46625,41.67905056300049,-86.25404046099965
Mishawaka Public Library,LIBRARY,574-259-5277,209 Lincoln Way East,Mishawaka,Indiana,46544,41.66108696000049,-86.17904246599966
Mishawaka Public Library Bittersweet Branch,LIBRARY,574-259-0392,602 Bittersweet Rd.,Mishawaka,Indiana,46544,41.670030383000494,-86.10949109799964
St. Joseph Co. Public Library Francis Branch,LIBRARY,574-282-4641,52655 Ironwood Dr.,South Bend,Indiana,46635,41.72854097700048,-86.21703015499969
St. Joseph Co. Public Library Tutt Branch,LIBRARY,574-282-4637,2223 Miami St.,South Bend,Indiana,46613,41.65117097700045,-86.23489053199967
St. Joseph Co. Public Library River Park Branch,LIBRARY,574-282-4635,2022 Mishawaka Av.,South Bend,Indiana,46615,41.6657208470005,-86.21666027299966
St. Joseph Co. Public Library Main Branch,LIBRARY,574-282-4646,304 S. Main St.,South Bend,Indiana,46601,41.673543564000454,-86.25187689899968
St. Joseph Co. Public Library LaSalle Branch,LIBRARY,574-282-4633,3232 Ardmore Tr.,South Bend,Indiana,46628,41.689051108000456,-86.29552017399965
St. Joseph Co. Public Library Centre Township Branch,LIBRARY,574-251-3700,1150 Kern Rd,South Bend,Indiana,46614,41.6076504240005,-86.23378088399966
St. Joseph Co. Public Library Western Branch,LIBRARY,574-282-4639,611 Lombardy Dr,South Bend,Indiana,46628,41.70801127800047,-86.30769577799964
St. Joseph Co. Public Library German Township Branch,LIBRARY,574-271-5144,52807 Lynnewood Av,South Bend,Indiana,46628,41.72393320100048,-86.28282263899968
St. Joseph Co. Public Library North Liberty Branch,LIBRARY,574-656-3644,105 E Market St,North Liberty,Indiana,46554,41.537320869000496,-86.42789091599968
St. Joseph Co. Public Library Lakeville Branch,LIBRARY,574-784-3446,120 N Michigan St,Lakeville,Indiana,46536,41.52547079800047,-86.27405084799966
Mishawaka Public Library Harris Branch,LIBRARY,574-271-3179,51446 Elm Rd,Granger,Indiana,46530,41.74701091100047,-86.13972007399968
