South Bend Fire Dept.,FIRE STATION,1222 S. Michigan St.,South Bend,IN,46601,41.66145320300046,-86.24997207899969,574-235-9491
South Bend Fire Dept. Station #2,FIRE STATION,402 Martin Luther King Jr Dr,South Bend,IN,46601,41.68009785300046,-86.25981731099967,574-235-9602
South Bend Fire Dept. Station #3,FIRE STATION,1805 McKinley Ave.,South Bend,IN,46617,41.680220706000455,-86.22075713699968,574-235-9175
South Bend Fire Dept. Station #4,FIRE STATION,220 N. Olive St.,South Bend,IN,46628,41.678453281000486,-86.28343457299968,574-235-9422
South Bend Fire Dept. Station #5,FIRE STATION,2221 Prairie Ave.,South Bend,IN,46614,41.64993112100046,-86.28155105499968,574-235-9509
South Bend Fire Dept. Station #6,FIRE STATION,4302 W. Western Ave.,South Bend,IN,46619,41.67183473200049,-86.30718176299968,574-235-9691
South Bend Fire Dept. Station #7,FIRE STATION,1616 Portage Ave.,South Bend,IN,46616,41.69653057200048,-86.27058017399969,574-235-9767
South Bend Fire Dept. Station #9,FIRE STATION,2520 Mishawaka Ave.,South Bend,IN,46615,41.6657208470005,-86.21102100299964,574-235-9900
South Bend Fire Dept. Station #10,FIRE STATION,5303 York Road,South Bend,IN,46614,41.61974499100046,-86.22520402199967,574-291-1309
South Bend Fire Dept. Station #11,FIRE STATION,3505 N. Bendix Dr.,South Bend,IN,46628,41.72318967400048,-86.29200404599965,574-235-9385
Mishawaka Fire Dept. Station #1,FIRE STATION,600 Union St.,Mishawaka,IN,46544,41.65585337700048,-86.17692383499968,574-258-1674
Mishawaka Fire Dept. Station #2,FIRE STATION,2332 N. Main St.,Mishawaka,IN,46544,41.681103660000474,-86.18137563599964,574-258-1697
Mishawaka Fire Dept. Station #4,FIRE STATION,3000 Harrison Rd,Mishawaka,IN,46544,41.65146299200046,-86.13096194099967,574-258-1704
South Bend Fire Dept. Station #8,FIRE STATION,2402 Twykenham Dr.,South Bend,IN,46614,41.622684060000495,-86.24747834599964,574-235-9888
Centre Twp. Fire,FIRE STATION,19971 Kern Road,South Bend,IN,46614,41.608337261000486,-86.25311604899969,574-291-1677
Clay Twp. Sta. 1,FIRE STATION,18776 Cleveland,South Bend,IN,46637,41.72332113800047,-86.23148092899964,574-272-3012
Clay Twp. Sta. 2,FIRE STATION,18355 Auten Road,South Bend,IN,46637,41.745350472000496,-86.22409018899964,574-272-1710
German Twp. Sta. 1,FIRE STATION,51775 Portage Road,South Bend,IN,46628,41.74029080100047,-86.29557087399968,574-272-9828
German Twp. Sta. 2,FIRE STATION,23747 Keller Road,South Bend,IN,46628,41.69716158800048,-86.32726932899965,574-232-6652
Harris Twp. Sta. 2,FIRE STATION,12481 Anderson,Granger,IN,46350,41.615093335000495,-86.73039963799965,574-273-8178
New Carlisle Fire,FIRE STATION,210 Michigan,New Carlisle,IN,46552,41.70646011100047,-86.51996667599968,574-654-3244
New Carlisle Ambulanc,FIRE STATION,210 Michigan,New Carlisle,IN,46552,41.70646011100047,-86.51996667599968,574-654-8801
North Liberty Fire,FIRE STATION,112 S. State Street,North Liberty,IN,46554,41.53441973200046,-86.42712027299967,574-656-3163
Osceola Twp. Fire,FIRE STATION,620 Rogers,Osceola,IN,46561,41.6644618250005,-86.09286693399969,574-674-6244
Penn North Fire,FIRE STATION,13750 McKinley,Mishawaka,IN,46545,41.680510391000496,-86.13212077099968,574-259-1030
Penn South Sta. 1,FIRE STATION,14940 Jackson Road,Mishawaka,IN,46544,41.622370832000456,-86.15641088399968,574-255-4433
Penn South Sta. 2,FIRE STATION,10701 Ireland Road,Mishawaka,IN,46544,41.62955260300049,-86.15267715299967,574-674-6747
Portage Twp. Fire,FIRE STATION,23626 Fillmore,South Bend,IN,46619,41.6790101200005,-86.32436064999968,574-288-5956
Warren Twp. Sta. 1,FIRE STATION,54837 Quince Road,South Bend,IN,46619,41.69597952300046,-86.38020498499964,574-232-4028
Warren Twp. Sta. 2,FIRE STATION,59330 Crumstown Hwy.,South Bend,IN,46619,41.636031379000485,-86.39702842199966,574-289-2909
Harris Twp. Sta. 1,FIRE STATION,13981 SR 23,Granger,IN,46350,41.743374161000474,-86.13930218899964,574-272-4499
Lakeville Fire,FIRE STATION,117 N. Main,Lakeville,IN,46536,41.524504316000446,-86.27659857299966,574-784-2698
Madison Twp. Fire,FIRE STATION,66341 SR 331,Wyatt,IN,46595,41.52580347200046,-86.16939859699966,574-633-4915
Mishawaka EMS Station,FIRE STATION,333 E. Mishawaka Ave,Mishawaka,IN,46545,41.666220937000446,-86.17789057999966,574-258-1675
Mishawaka Fire Dept. Station #3,FIRE STATION,333 E Douglas Road,Mishawaka,IN,46645,41.709469466000485,-86.17766101299964,574-247-0928
South Bend Police Department,POLICE STATION,101 W SAMPLE,South Bend,IN,46619,41.66452382300048,-86.32689998899968,574-245-6500
Mishawaka Police Department,POLICE STATION,200 N CHURCH ST,Mishawaka,IN,46544,41.66218651300045,-86.17930931799964,574-258-1768
St. Joseph County Jail,POLICE STATION,701 W SAMPLE,South Bend,IN,46625,41.67905056300049,-86.25404046099965,574-235-9201
Mishawaka Public Library,LIBRARY,209 Lincoln Way East,Mishawaka,IN,46544,41.66108696000049,-86.17904246599966,574-259-5277
Mishawaka Public Library Bittersweet Branch,LIBRARY,602 Bittersweet Rd.,Mishawaka,IN,46544,41.670030383000494,-86.10949109799964,574-259-0392
St. Joseph Co. Public Library Francis Branch,LIBRARY,52655 Ironwood Dr.,South Bend,IN,46635,41.72854097700048,-86.21703015499969,574-282-4641
St. Joseph Co. Public Library Tutt Branch,LIBRARY,2223 Miami St.,South Bend,IN,46613,41.65117097700045,-86.23489053199967,574-282-4637
St. Joseph Co. Public Library River Park Branch,LIBRARY,2022 Mishawaka Av.,South Bend,IN,46615,41.6657208470005,-86.21666027299966,574-282-4635
St. Joseph Co. Public Library Main Branch,LIBRARY,304 S. Main St.,South Bend,IN,46601,41.673543564000454,-86.25187689899968,574-282-4646
St. Joseph Co. Public Library LaSalle Branch,LIBRARY,3232 Ardmore Tr.,South Bend,IN,46628,41.689051108000456,-86.29552017399965,574-282-4633
St. Joseph Co. Public Library Centre Township Branch,LIBRARY,1150 Kern Rd,South Bend,IN,46614,41.6076504240005,-86.23378088399966,574-251-3700
St. Joseph Co. Public Library Western Branch,LIBRARY,611 Lombardy Dr,South Bend,IN,46628,41.70801127800047,-86.30769577799964,574-282-4639
St. Joseph Co. Public Library German Township Branch,LIBRARY,52807 Lynnewood Av,South Bend,IN,46628,41.72393320100048,-86.28282263899968,574-271-5144
St. Joseph Co. Public Library North Liberty Branch,LIBRARY,105 E Market St,North Liberty,IN,46554,41.537320869000496,-86.42789091599968,574-656-3644
St. Joseph Co. Public Library Lakeville Branch,LIBRARY,120 N Michigan St,Lakeville,IN,46536,41.52547079800047,-86.27405084799966,574-784-3446
Mishawaka Public Library Harris Branch,LIBRARY,51446 Elm Rd,Granger,IN,46530,41.74701091100047,-86.13972007399968,574-271-3179
